start_date,end_date,value,device
2024-10-30 01:32:09+01:00,2024-10-30 01:43:39+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-30 01:43:39+01:00,2024-10-30 01:46:39+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-10-30 01:46:39+01:00,2024-10-30 01:59:09+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-30 01:59:09+01:00,2024-10-30 02:24:09+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-10-30 02:24:09+01:00,2024-10-30 02:32:09+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-30 02:32:09+01:00,2024-10-30 02:48:09+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-10-30 02:48:09+01:00,2024-10-30 02:48:39+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-29 23:48:09+01:00,2024-10-30 02:48:39+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-10-30 02:48:39+01:00,2024-10-30 02:49:39+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-10-30 02:49:39+01:00,2024-10-30 03:49:39+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-30 02:49:39+01:00,2024-10-30 03:49:39+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-10-30 03:49:39+01:00,2024-10-30 03:50:39+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-10-30 03:50:39+01:00,2024-10-30 04:33:39+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-30 04:33:39+01:00,2024-10-30 04:58:09+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-10-30 04:58:09+01:00,2024-10-30 06:40:09+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-30 06:40:09+01:00,2024-10-30 07:14:39+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-10-30 07:14:39+01:00,2024-10-30 08:05:09+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-30 03:50:39+01:00,2024-10-30 08:05:09+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-10-31 00:23:21+01:00,2024-10-31 00:35:51+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-31 00:23:21+01:00,2024-10-31 00:35:51+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-10-31 00:35:51+01:00,2024-10-31 00:36:51+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-10-31 00:36:51+01:00,2024-10-31 00:47:51+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-31 00:47:51+01:00,2024-10-31 00:59:51+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-10-31 00:59:51+01:00,2024-10-31 01:20:21+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-31 01:20:21+01:00,2024-10-31 01:29:51+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-10-31 01:29:51+01:00,2024-10-31 01:35:21+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-31 01:35:21+01:00,2024-10-31 01:49:51+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-10-31 00:36:51+01:00,2024-10-31 01:49:51+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-10-31 01:49:51+01:00,2024-10-31 01:50:51+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-10-31 01:50:51+01:00,2024-10-31 02:34:51+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-31 02:34:51+01:00,2024-10-31 02:57:51+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-10-31 02:57:51+01:00,2024-10-31 03:01:51+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-31 03:01:51+01:00,2024-10-31 03:37:51+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-10-31 03:37:51+01:00,2024-10-31 04:45:51+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-31 04:45:51+01:00,2024-10-31 04:46:51+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-10-31 04:46:51+01:00,2024-10-31 04:52:51+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-31 04:52:51+01:00,2024-10-31 05:23:21+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-10-31 05:23:21+01:00,2024-10-31 06:23:21+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-31 06:23:21+01:00,2024-10-31 07:01:51+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-10-31 07:01:51+01:00,2024-10-31 08:02:51+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-31 08:02:51+01:00,2024-10-31 08:25:21+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-10-31 08:25:21+01:00,2024-10-31 08:39:51+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-31 01:50:51+01:00,2024-10-31 08:39:51+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-01 00:30:46+01:00,2024-11-01 00:48:16+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 00:48:16+01:00,2024-11-01 01:10:46+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-11-01 01:10:46+01:00,2024-11-01 01:16:46+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 01:16:46+01:00,2024-11-01 01:33:16+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-11-01 01:33:16+01:00,2024-11-01 01:45:16+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 01:45:16+01:00,2024-11-01 01:55:46+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-01 01:55:46+01:00,2024-11-01 02:49:46+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 00:30:46+01:00,2024-11-01 02:49:46+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-01 02:49:46+01:00,2024-11-01 02:50:46+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-01 02:50:46+01:00,2024-11-01 03:03:16+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 03:03:16+01:00,2024-11-01 03:32:16+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-01 03:32:16+01:00,2024-11-01 03:54:16+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 03:54:16+01:00,2024-11-01 03:58:16+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-11-01 03:58:16+01:00,2024-11-01 04:09:46+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 04:09:46+01:00,2024-11-01 04:40:16+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-11-01 04:40:16+01:00,2024-11-01 04:45:16+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 04:45:16+01:00,2024-11-01 05:15:16+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-01 05:15:16+01:00,2024-11-01 06:07:46+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 06:07:46+01:00,2024-11-01 06:35:16+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-01 06:35:16+01:00,2024-11-01 07:36:46+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 02:50:46+01:00,2024-11-01 07:36:46+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-01 07:36:46+01:00,2024-11-01 07:37:46+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-01 07:37:46+01:00,2024-11-01 07:43:16+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 07:43:16+01:00,2024-11-01 07:52:46+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-01 07:52:46+01:00,2024-11-01 07:53:16+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 07:53:16+01:00,2024-11-01 07:54:16+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-01 07:54:16+01:00,2024-11-01 07:54:46+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 07:37:46+01:00,2024-11-01 07:54:46+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-01 07:54:46+01:00,2024-11-01 07:56:46+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-01 07:56:46+01:00,2024-11-01 08:28:16+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 07:56:46+01:00,2024-11-01 08:28:16+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-01 08:28:16+01:00,2024-11-01 08:29:16+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-01 08:29:16+01:00,2024-11-01 08:36:16+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-01 08:36:16+01:00,2024-11-01 08:41:16+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-01 08:29:16+01:00,2024-11-01 08:41:16+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-02 00:22:01+01:00,2024-11-02 00:24:01+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-02 00:22:01+01:00,2024-11-02 00:24:01+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-02 00:24:01+01:00,2024-11-02 00:28:01+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-02 00:28:01+01:00,2024-11-02 00:46:01+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-02 00:46:01+01:00,2024-11-02 01:09:01+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-11-02 01:09:01+01:00,2024-11-02 01:32:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-02 01:32:31+01:00,2024-11-02 01:45:31+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-02 01:45:31+01:00,2024-11-02 02:42:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-02 02:42:31+01:00,2024-11-02 02:48:31+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-11-02 02:48:31+01:00,2024-11-02 03:01:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-02 03:01:31+01:00,2024-11-02 03:16:01+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-02 00:28:01+01:00,2024-11-02 03:16:01+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-02 03:16:01+01:00,2024-11-02 03:19:31+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-02 03:19:31+01:00,2024-11-02 03:22:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-02 03:22:31+01:00,2024-11-02 03:26:31+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-02 03:19:31+01:00,2024-11-02 03:26:31+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-02 03:26:31+01:00,2024-11-02 03:28:31+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-02 03:28:31+01:00,2024-11-02 04:45:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
